id,filename,subject,building,person,date_created,creator,source,license,copyright_status,archive_reference,local_path,source_url,download_status,notes
A_VLASOV_PORTRAIT_1920,1920s_vlasov_mosru_1920_ccby4.jpg,Портрет Власова 1920-х гг.,,А. В. Власов,circa 1920,Главархив Москвы,Wikimedia Commons,CC BY 4.0,Copyrighted (Mos.ru),"https://www.mos.ru/news/item/161851073/",assets/people/alexander_vlasov/originals/1920s_vlasov_mosru_1920_ccby4.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Alexander_Vlasov_1920s.jpg,downloaded,Автор фото неизвестен
A_VLASOV_SIGNATURE_1947,1947_vlasov_signature_pd.png,Подпись А. В. Власова,Крещатик (проект 1947),А. В. Власов,1947-11-30,А. В. Власов,Wikimedia Commons,Public domain,Public domain,Пояснительная записка проекта реконструкции Крещатика,assets/people/alexander_vlasov/originals/1947_vlasov_signature_pd.png,https://upload.wikimedia.org/wikipedia/commons/2/2f/Aleksandr_Vlasov_Signature_1947.png,downloaded,
A_VLASOV_PORTRAIT_1940_AKHKIT,1940_vlasov_arhitektura_sssr_pd.jpg,Портрет Власова 1940,,А. В. Власов,1940,Автор неизвестен,Wikimedia Commons (Архитектура СССР № 7),Public domain,Public domain,Архитектура СССР 1940 №7 с.3,assets/people/alexander_vlasov/originals/1940_vlasov_arhitektura_sssr_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Vlasov_A.V.jpg,downloaded,
A_VLASOV_PORTRAIT_1947_OGONEK,1947_vlasov_ogoniok_pd.jpg,Портрет Власова (Огонёк),,А. В. Власов,1947,С. Иванова-Аллилуева (ТАСС),Wikimedia Commons (Огонёк № 5 1947 г.),Public domain,Public domain,Госкаталог 13745268,assets/people/alexander_vlasov/originals/1947_vlasov_ogoniok_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87_%D0%92%D0%BB%D0%B0%D1%81%D0%BE%D0%B2.jpg,downloaded,Фотограф ТАСС
A_VLASOV_PORTRAIT_1935_AKHKIT,1935_vlasov_arhitektura_sssr_pd.jpg,Портрет Власова 1935,,А. В. Власов,1935,Автор неизвестен,Wikimedia Commons (Архитектура СССР № 4 с.57),Public domain,Public domain,viewer.rsl.ru/ru/rsl01011747004,assets/people/alexander_vlasov/originals/1935_vlasov_arhitektura_sssr_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Vlasov_A.V._2.jpg,downloaded,
A_VLASOV_PROJECT_1937_PARIS_MOSRU,1937_vlasov_paris_pavilion_mosru_ccby4.jpg,Гран-при Парижской выставки 1937 (проект Власова),Парижская международная выставка 1937,А. В. Власов,1937,А. В. Власов (проект); Главархив Москвы (фото),Wikimedia Commons (Mos.ru),CC BY 4.0,Copyrighted (Mos.ru),mos.ru/news/item/81940073,assets/people/alexander_vlasov/originals/1937_vlasov_paris_pavilion_mosru_ccby4.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Projects_of_Alexander_Vlasov_16.jpg,downloaded,8164x6014 — high resolution
A_CHECHULIN_PORTRAIT_1940,1940_chechulin_arhitektura_sssr_pd.jpg,Портрет Чечулина 1940,,Д. Н. Чечулин,1940,Автор неизвестен,Wikimedia Commons (Архитектура СССР № 7),Public domain,Public domain,Архитектура СССР 1940 №7 с.3,assets/people/dmitry_chechulin/originals/1940_chechulin_arhitektura_sssr_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chechulin_D.N.jpg,downloaded,
A_CHECHULIN_PORTRAIT_1935,1935_chechulin_stroitelstvo_moskvy_pd.jpg,Портрет Чечулина 1935,,Д. Н. Чечулин,1935,Автор неизвестен,Wikimedia Commons (Строительство Москвы № 5),Public domain,Public domain,Строительство Москвы 1935 №5 с.5,assets/people/dmitry_chechulin/originals/1935_chechulin_stroitelstvo_moskvy_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Chechulin_D.N_2.jpg,downloaded,
A_CHECHULIN_PORTRAIT_1949_GORHOZ,1949_chechulin_gorhozmoskvy_pd.jpg,Портрет Чечулина 1949 (Городское хозяйство Москвы),,Д. Н. Чечулин,1949,Автор неизвестен,Wikimedia Commons (Городское хозяйство Москвы № 7),Public domain,Public domain,РГБ rsl60000346628 с.27,assets/people/dmitry_chechulin/originals/1949_chechulin_gorhozmoskvy_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Chechulin_D.N_3.jpg,downloaded,Контекст: проект Зарядья
A_CHECHULIN_PORTRAIT_1939_STRG,1939_chechulin_stroitelnaya_gazeta_pd.jpg,Портрет Чечулина 1939 (Строительная газета),,Д. Н. Чечулин,1939,Автор неизвестен,Wikimedia Commons (Строительная газета № 99),Public domain,Public domain,Строительная газета 1939 №99,assets/people/dmitry_chechulin/originals/1939_chechulin_stroitelnaya_gazeta_pd.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Chechulin_D.N._4.jpg,downloaded,
