id,author,title,year,publication,institution,source_type,url,accessed_at,language,primary_or_secondary,reliability,notes
bib_001,Широчин Семен,"Обезбашенный: Высотный Киев, которого не случилось",2020,Bird in Flight,Bird In Flight,electronic_article,https://birdinflight.com/ru/architectura/20200702-kyev-aiming-high.html,2026-08-22,ru,secondary,high_quality_secondary,"Авторские фото: личный архив Семена Широчина. Все права защищены, использование только с согласия редакции."
bib_002,Мокроусова Олена,"Скульптура Хрещатика",(дата публикации неизвестна),Мислене древо,Мислене древо,web_portal,https://www.myslenedrevo.com.ua/uk/Sci/Kyiv/Heritage/XrescaticSculpture.html,2026-08-22,uk,secondary,high_quality_secondary,"Упоминает проекты Власова, Заварова, архив АО Киевпроект дело №1024; онлайн-доступ к делу не подтверждён."
bib_003,Bellat Fabien,"La reconstruction de Kiev sous Staline",2023,Histoire de l'art №91,INHA / Histoire de l'art,academic_journal,https://devisu.inha.fr/histoiredelart/102,2026-08-22,fr,secondary,academic,"Приоритетный академический источник по послевоенному Киеву. Лицензия страницы (если указана): CC BY-NC-ND 4.0."
bib_004,(первичный документ),"Постановление Совета Министров СССР №53 от 13 января 1947",1947,letopis.msu.ru,МГУ,primary_document,https://letopis.msu.ru/content/postanovlenie-sm-sssr-no53-ot-13-yanvarya-1947-g,2026-08-22,ru,primary,primary,"Программа восьми высотных зданий в Москве."
bib_005,(издание),"Высотные здания в Москве. Проекты",1951,РГБ,РГБ,book,https://search.rsl.ru/ru/record/01005580448,2026-08-22,ru,primary,institutional,"Каталог проектов, предположительно 9 томов. Доступность скачивания требует прямой проверки через каталог РГБ."
bib_006,Олтаржевский В. К.,"Строительство высотных зданий в Москве",1953,РГБ,РГБ,book,https://search.rsl.ru/ru/record/01004824856,2026-08-22,ru,primary,institutional,"Доступность скачивания требует прямой проверки."
bib_007,(Wikimedia Foundation),"Wikimedia Commons — Category: Alexander Vasilievich Vlasov",(обновляется),Wikimedia,Wikimedia,media_archive,https://commons.wikimedia.org/wiki/Category:Alexander_Vasilievich_Vlasov,2026-08-22,en/multi,primary,primary,"Каждая запись Commons имеет собственную лицензию и атрибуцию; не считать всё PD автоматически."
bib_008,(Wikimedia Foundation),"Wikimedia Commons — Category: Dmitri Chechulin",(обновляется),Wikimedia,Wikimedia,media_archive,https://commons.wikimedia.org/wiki/Category:Dmitri_Chechulin,2026-08-22,en/multi,primary,primary,
bib_009,(Wikimedia Foundation),"Wikimedia Commons — Category: Boris Iofan",(обновляется),Wikimedia,Wikimedia,media_archive,https://commons.wikimedia.org/wiki/Category:Boris_Iofan,2026-08-22,en/multi,primary,primary,
bib_010,(Wikimedia Foundation),"Wikimedia Commons — Category: Vyacheslav Oltarzhevsky",(обновляется),Wikimedia,Wikimedia,media_archive,https://commons.wikimedia.org/wiki/Category:Vyacheslav_Oltarzhevsky,2026-08-22,en/multi,primary,primary,
bib_011,(архив),"Центральный государственный архив Москвы. Ф. Р-694. Оп. 1. Д. 547. Альбом фотографий строительства Восьмого высотного здания в Зарядье. 1949",1949,Главархив Москвы,Главархив Москвы,archive_fond,(прямой URL требует поиска),2026-08-22,ru,primary,primary,"Архивный шифр для каталогизации. Онлайн-доступ не найден на момент первичной проверки."
bib_012,"АО «Киевпроект»",Дело №1024,1940-е — 1950-е гг.,Архив АО «Киевпроект»,АО «Киевпроект»,archive_fond,(доступ ограничен),2026-08-22,ru,primary,primary,"Упомянуто в публикации myslenedrevo.com.ua; содержит материалы о высотных проектах Власова и Заварова в Киеве."
bib_013,(Zabolotny House-Museum / Library in Pereyaslav),"Архив В. Г. Заболотного",1940-е гг.,Заболотный Library,Pereyaslav,archived_drawings,(доступ ограничен),2026-08-22,ru/uk,primary,high_quality_secondary,"Часть материалов конкурса 1944 г. сохранена здесь; полный онлайн-доступ требует уточнения."
